"","VIP","Coefficient"
"discount_rate",4.49648846340051,-3351.24447777407
"establis_cost",0.394959169427058,-294.364090169971
"main_cost_stage1",0.713749529724227,-531.959369955377
"main_cost_stage2",0.873395753086247,-650.944113004143
"main_cost_stage3",0.519224278458418,-386.979197227623
"CV_cost",0.0371268593278001,27.6707442512351
"mono_cost",0.0338768006510269,-25.2484671161703
"timb_benefit",0.158836376389753,118.381162006417
"max_tree_harvest",1.20613889011023,898.938433359975
"first_tree_est_per",0.244808007503844,182.456040961725
"sec_tree_est_per",0.372460389996903,277.595691688427
"CV_tree_yield",0.0449945984915412,-33.5345905925897
"yield_tree_risk",0.0941952674049281,-70.2039763456855
"tree_price",1.84637029349874,1376.10455367082
"max_coff_harvest",2.59164410050336,1931.5590489916
"first_coff_est_per",0.24505291657254,182.638572323855
"sec_coff_est_per",0.370396774017763,276.057673363543
"coff_frost_yield",0.507322132383478,-378.108496984096
"CV_coff_yield",0.00799258517746479,5.95689439818139
"coff_price",1.85296761895748,1381.02155739309
"CV_coff_price",0.0413730932052572,30.8354733390539
"max_monomaize",0.0828636831261504,61.7585172840678
"decay_rate_mono",0.0826747115317712,61.617676266177
"CV_maize_yield",0.0706728417313877,52.672651672234
"maize_price",0.0671862224659896,-50.0740653188222
"CV_maize_price",0.0062607542650451,-4.66615634137879
"yield_maize_risk",0.0785242529773799,-58.5243287742732
"grass_profit",0.4756656137248,354.514811777526
"CV_grass_profit",0.0613936416913268,45.7568398903224
"annual_crop",0.040935977144657,-30.5096896088929
"mono_soil_loss",0.2051831356936,152.92352154853
"reduced_percents1",0.0807446066186429,60.1791640839942
"reduced_percents2",0.0643863315680796,-47.987299393286
"soil_saved_payment",0.0195009739832322,14.5341263309056
"CV_eros_control",0.0197075481019926,14.6880865557303
"coffee_risk",0.168023352459572,-125.228239024856
"tree_risk",0.165101742447851,-123.050755529083
"maize_risk",0.0770406537988123,-57.418598470532
