"","VIP","Coefficient"
"discount_rate",0.217777332578195,16.3672288332124
"establis_cost",5.21363909699767,-391.835197649434
"main_cost_stage1",2.88156111526198,-216.566020035373
"main_cost_stage2",0.107318001563226,8.06556985850523
"main_cost_stage3",0.0416709795261873,-3.13181564644393
"CV_cost",0.0275508087644135,-2.07060296978023
"mono_cost",0.00227678111746792,-0.171113297750372
"timb_benefit",0.0331970433345288,-2.49495022466219
"max_tree_harvest",0.00500350250359031,0.376042214652477
"first_tree_est_per",0.259426751612035,19.4974240836866
"sec_tree_est_per",0.164200853013015,-12.3406458516875
"CV_tree_yield",0.124484854207363,9.35575833793178
"yield_tree_risk",0.043993187439806,-3.3063430312297
"tree_price",0.0488636563506019,3.67238700028888
"max_coff_harvest",0.0528899670764518,3.97498758880486
"first_coff_est_per",0.304693860574186,22.899509701277
"sec_coff_est_per",0.239982992028501,-18.0361128502624
"coff_frost_yield",0.0142048767299909,-1.06757882115144
"CV_coff_yield",0.018443631394134,1.38614580300647
"coff_price",0.0425085685721763,3.19476531811819
"CV_coff_price",0.0539581893261104,-4.05527068254059
"max_monomaize",0.0234108294360778,1.7594595269368
"decay_rate_mono",0.0527936006643205,3.96774509437022
"CV_maize_yield",0.0581314092945063,-4.36891235215532
"maize_price",0.0278302259310825,2.09160278942472
"CV_maize_price",0.0509741448164937,-3.83100244140097
"yield_maize_risk",0.0436831573125905,3.28304247016004
"grass_profit",1.37838046238834,103.593281174194
"CV_grass_profit",0.118236543666489,8.88616158406973
"annual_crop",0.00838368556192598,-0.630082563842918
"mono_soil_loss",0.406332072325609,30.5382104339931
"reduced_percents1",0.0928788502776823,6.98038394659216
"reduced_percents2",0.0686783484337468,-5.16157596107306
"soil_saved_payment",0.2541891002771,19.1037842271754
"CV_eros_control",0.0529786821281483,-3.9816550391537
"coffee_risk",0.0456933338489218,-3.43411888833352
"tree_risk",0.014593645892869,-1.09679707714159
"maize_risk",0.0726791584162403,-5.46226002091735
