"","VIP","Coefficient"
"discount_rate",4.88000500375052,-4671.99930034095
"establis_cost",0.413474078066221,-395.8501276023
"main_cost_stage1",0.6001567729769,-574.575645165938
"main_cost_stage2",0.657857435730346,-629.816870493807
"main_cost_stage3",0.705044865730299,-674.992979898456
"CV_cost",0.0305930037193993,29.2890052085014
"mono_cost",0.0411879977412728,-39.4323974015968
"timb_benefit",0.192635561672145,184.424648880762
"max_tree_harvest",1.17243728995865,1122.46323398657
"first_tree_est_per",0.253455186729365,242.651893626607
"sec_tree_est_per",0.0900412412875632,86.2033165896386
"CV_tree_yield",0.0402665369807291,38.5502130543997
"yield_tree_risk",0.0487620013650727,-46.6835661204767
"tree_price",1.63083671952951,1561.32381150356
"max_coff_harvest",2.20390127864578,2109.9620233873
"first_coff_est_per",0.151360212682079,144.908623496625
"sec_coff_est_per",0.200506302770614,191.959906913684
"coff_frost_yield",0.437397319347208,-418.75366283244
"CV_coff_yield",0.0416994252813106,-39.9220258153782
"coff_price",1.77314842204626,1697.56960921844
"CV_coff_price",0.0103164582870681,9.87672878657627
"max_monomaize",0.177719860113348,-170.144715316506
"decay_rate_mono",0.0203469467142237,-19.4796769142386
"CV_maize_yield",0.0349720854898971,-33.4814326654768
"maize_price",0.0609890416532815,-58.3894401160666
"CV_maize_price",0.031615805565033,-30.2682110706912
"yield_maize_risk",0.0519193101388858,-49.7062975256449
"grass_profit",0.351875519258638,336.877150437347
"CV_grass_profit",0.122370158256099,117.154243349283
"annual_crop",0.0355598213423748,34.0441168204011
"mono_soil_loss",0.192943616983377,184.719573619042
"reduced_percents1",0.0998341858667581,95.5788459563325
"reduced_percents2",0.0210829731444417,20.1843308980702
"soil_saved_payment",0.204619142623538,195.897440768773
"CV_eros_control",0.0549427348364035,52.6008515395405
"coffee_risk",0.154036376451645,-147.4707182587
"tree_risk",0.139666415649433,-133.713263755628
"maize_risk",0.0158326726908071,15.1578196491865
