"","VIP","Coefficient"
"discount_rate",1.25245494001294,-234.648909624047
"establis_cost",2.04374372643532,-382.897796669698
"main_cost_stage1",2.9721853419009,-556.842427936303
"main_cost_stage2",1.54011899464535,-288.543109408057
"main_cost_stage3",0.0666523909091795,-12.4874040183139
"CV_cost",0.0401617485481995,7.52435094018856
"mono_cost",0.076471972000186,14.3271141127512
"timb_benefit",0.0249897733884784,4.68186350664073
"max_tree_harvest",0.779263390190417,145.995914883956
"first_tree_est_per",1.21519825874689,227.66882646417
"sec_tree_est_per",0.13068454135203,-24.483902896064
"CV_tree_yield",0.0769559173462598,14.4177818438974
"yield_tree_risk",0.0203119669816226,-3.80547096130113
"tree_price",1.281747318558,240.136871279435
"max_coff_harvest",2.94056230701104,550.917815066931
"first_coff_est_per",0.996033445727405,186.608040355211
"sec_coff_est_per",0.338178820513177,63.3582007273997
"coff_frost_yield",0.560619812879276,-105.032782899479
"CV_coff_yield",0.00526684628294525,0.986749860588038
"coff_price",2.26511773731197,424.372478601786
"CV_coff_price",0.055602269055743,-10.4171506612591
"max_monomaize",0.066840089597168,-12.5225695888006
"decay_rate_mono",0.0124421478835079,-2.33105107495213
"CV_maize_yield",0.00721872730364295,-1.35243707103399
"maize_price",0.0662935051533251,-12.4201663488374
"CV_maize_price",0.0475636616530214,-8.91110808704484
"yield_maize_risk",0.05031947143268,-9.42741229829376
"grass_profit",1.30235566486895,243.99786925751
"CV_grass_profit",0.0602653547418995,11.2907852622203
"annual_crop",0.0335186940189348,6.27976684213794
"mono_soil_loss",0.406458511200066,76.1504812776127
"reduced_percents1",0.159330437472274,29.8507453069772
"reduced_percents2",0.0259419368338265,4.86025245070326
"soil_saved_payment",0.344315134015305,64.5078462965816
"CV_eros_control",0.0221470908198194,-4.14928357595177
"coffee_risk",0.177091059380188,-33.1782187607477
"tree_risk",0.167000188757089,-31.2876822526296
"maize_risk",0.00174629337316701,0.327170122298455
