"","VIP","Coefficient"
"discount_rate",4.51256076363583,-3450.55335732622
"establis_cost",0.541010199977071,-413.686299123543
"main_cost_stage1",0.683566570555266,-522.692778785991
"main_cost_stage2",0.86736633857799,-663.236239549409
"main_cost_stage3",0.580031280964532,-443.523974239811
"CV_cost",0.058822083715197,-44.9786161516111
"mono_cost",0.0638410928789202,48.8164279457248
"timb_benefit",0.0741251546404544,56.6801899418339
"max_tree_harvest",1.22428921459797,936.159196749653
"first_tree_est_per",0.121568371977134,92.9578959801979
"sec_tree_est_per",0.237182733903441,181.363026812945
"CV_tree_yield",0.0289367973470446,22.1266745127803
"yield_tree_risk",0.0193699473364014,-14.8113322598233
"tree_price",1.88638738469616,1442.43605004372
"max_coff_harvest",2.47460061268208,1892.21639317094
"first_coff_est_per",0.191201615365413,146.203322322413
"sec_coff_est_per",0.245190609879679,187.486291358772
"coff_frost_yield",0.494836078177186,-378.379013672208
"CV_coff_yield",0.0768881711149949,-58.7929450429733
"coff_price",1.91634596902491,1465.34403935422
"CV_coff_price",0.0065849202244832,-5.03519393498621
"max_monomaize",0.0356345152788589,-27.2481198088266
"decay_rate_mono",0.0288588366711764,-22.0670614713285
"CV_maize_yield",0.0160807014446091,-12.2961930629272
"maize_price",0.0214516682168723,16.4031310963086
"CV_maize_price",0.0817633298491285,-62.5207608483851
"yield_maize_risk",0.0214556238969897,16.4061558279464
"grass_profit",0.46722716100596,357.267709730329
"CV_grass_profit",0.136528776580802,-104.397448162661
"annual_crop",0.0791769126874643,60.5430433420537
"mono_soil_loss",0.308699949380036,236.049042336105
"reduced_percents1",0.0410439642145397,31.3844834311658
"reduced_percents2",0.0734005761310711,-56.1261371679971
"soil_saved_payment",0.199554737684252,152.590581302656
"CV_eros_control",0.0599436125063805,-45.8361990493179
"coffee_risk",0.291638858062916,-223.003188993067
"tree_risk",0.125143971483795,-95.6919969770392
"maize_risk",0.0475542673391503,36.3626210076971
