"","VIP","Coefficient"
"discount_rate",4.7761533927761,-4397.71825498026
"establis_cost",0.295618839931226,-272.195690123343
"main_cost_stage1",0.556802970978726,-512.685081179338
"main_cost_stage2",0.691983272068127,-637.154466671383
"main_cost_stage3",0.614977749964512,-566.250422676156
"CV_cost",0.0469233196101303,43.2053835510925
"mono_cost",0.0320285986764558,-29.4908353014635
"timb_benefit",0.162561614037083,149.681159464271
"max_tree_harvest",1.16200707961488,1069.93627008876
"first_tree_est_per",0.21421409457255,197.240992217842
"sec_tree_est_per",0.339153509209624,312.280920656289
"CV_tree_yield",0.0388470286786515,-35.769011822409
"yield_tree_risk",0.109122540141651,-100.47629281266
"tree_price",1.78036476582153,1639.2988221482
"max_coff_harvest",2.37596849320463,2187.71030922661
"first_coff_est_per",0.198081528749885,182.386678843965
"sec_coff_est_per",0.355711627282648,327.527067948793
"coff_frost_yield",0.479182830483868,-441.215117646621
"CV_coff_yield",0.00827141922296323,7.61603916792906
"coff_price",1.6885539683041,1554.76258827067
"CV_coff_price",0.0447891652008456,41.2403273577857
"max_monomaize",0.0798077352487797,73.4842257627304
"decay_rate_mono",0.0842328886845893,77.5587552942113
"CV_maize_yield",0.0665700951403835,61.2954607105855
"maize_price",0.0661654922440513,-60.9229162387289
"CV_maize_price",0.0143118526898185,-13.1778631590432
"yield_maize_risk",0.0809930801998085,-74.5756507444892
"grass_profit",0.428227416192408,394.297119585971
"CV_grass_profit",0.0752571146619375,69.2941703812359
"annual_crop",0.0488325252245087,-44.9633146082403
"mono_soil_loss",0.173657783668329,159.898131938709
"reduced_percents1",0.0682203176917727,62.8149290446639
"reduced_percents2",0.0644215512752119,-59.317155199757
"soil_saved_payment",0.00509132583934695,-4.68791823554366
"CV_eros_control",0.010763923904374,9.91105200286912
"coffee_risk",0.155302455628021,-142.997175340224
"tree_risk",0.159518933329144,-146.879563411342
"maize_risk",0.0832189161928466,-76.6251241960708
