"","VIP","Coefficient"
"discount_rate",4.83845925712603,-4495.43950211639
"establis_cost",0.481675708251748,-447.527589055484
"main_cost_stage1",0.521163581549512,-484.215992541757
"main_cost_stage2",0.627920183322584,-583.404147121246
"main_cost_stage3",0.697601628410282,-648.14556668584
"CV_cost",0.109553378054521,-101.786655033057
"mono_cost",0.0573101875363743,53.2472151223086
"timb_benefit",0.124509871775085,115.682816829924
"max_tree_harvest",1.15931957130514,1077.13028455207
"first_tree_est_per",0.180366695878535,167.579703874617
"sec_tree_est_per",0.107746503150271,100.107877474274
"CV_tree_yield",0.132417133629017,-123.029497953547
"yield_tree_risk",0.00500370757356083,4.64897263526516
"tree_price",1.78728831762791,1660.57955182785
"max_coff_harvest",2.30443297901864,2141.0615432181
"first_coff_est_per",0.106345936654245,98.8066033254205
"sec_coff_est_per",0.274241991555536,254.799765062012
"coff_frost_yield",0.421825660891675,-391.920575994507
"CV_coff_yield",0.035359832239425,-32.853017497917
"coff_price",1.66344243678691,1545.51365268091
"CV_coff_price",0.0256854793581787,23.8645222376301
"max_monomaize",0.0602836065391637,-56.0098353142213
"decay_rate_mono",0.0126674155009738,-11.7693664463393
"CV_maize_yield",0.166318193159479,-154.527161585288
"maize_price",0.0597252666457376,-55.4910786028118
"CV_maize_price",0.0350776217049445,-32.5908141151462
"yield_maize_risk",0.0705730861458903,65.5698482485402
"grass_profit",0.308221767429168,286.370564487554
"CV_grass_profit",0.0566326487332202,52.6177100385509
"annual_crop",0.0731363352799099,-67.9513773259767
"mono_soil_loss",0.133800126289499,124.314444153706
"reduced_percents1",0.0200930929475692,-18.6686048090962
"reduced_percents2",0.0463831879497289,-43.0948788162688
"soil_saved_payment",0.104919307730239,97.4811144292617
"CV_eros_control",0.0619962227147587,-57.6010365620967
"coffee_risk",0.176555064098184,-164.038295512508
"tree_risk",0.130536042812389,-121.28176597633
"maize_risk",0.0414364711063663,-38.49885658653
