"","VIP","Coefficient"
"discount_rate",4.65685572419388,-4021.10300891252
"establis_cost",0.475851088942882,-410.888023779982
"main_cost_stage1",0.662708415312181,-572.235637234553
"main_cost_stage2",0.801441896811692,-692.029260428915
"main_cost_stage3",0.571301916159215,-493.307929238665
"CV_cost",0.0827188328266369,-71.4260795851689
"mono_cost",0.161492190924661,-139.445319611107
"timb_benefit",0.0805367308871049,69.5418776269205
"max_tree_harvest",1.14039049804029,984.704688011105
"first_tree_est_per",0.193759313674334,167.307343273032
"sec_tree_est_per",0.103687360725925,89.5319895858247
"CV_tree_yield",0.0342278416733121,29.5550657552229
"yield_tree_risk",0.198151251432354,-171.099694846644
"tree_price",1.84848466614116,1596.13002703354
"max_coff_harvest",2.46287927667025,2126.64764737184
"first_coff_est_per",0.171427737106191,148.024467648306
"sec_coff_est_per",0.30838810320733,266.287040690846
"coff_frost_yield",0.37828482055769,-326.641476622893
"CV_coff_yield",0.0206473986225768,17.8286212081075
"coff_price",1.75038593811445,1511.42371148476
"CV_coff_price",0.0380292118113263,32.8374738445577
"max_monomaize",0.0688368203128906,-59.4392357585975
"decay_rate_mono",0.0847495630010051,-73.1795750117112
"CV_maize_yield",0.0183765964179651,-15.8678283215746
"maize_price",0.0209362850859692,-18.0780689677076
"CV_maize_price",0.0525698061219199,-45.3929900547632
"yield_maize_risk",0.0863532963398982,-74.5643670981425
"grass_profit",0.390919397932729,337.551184826898
"CV_grass_profit",0.0674622792239518,-58.2523466566032
"annual_crop",0.0600890186914493,-51.8856817073957
"mono_soil_loss",0.211240454214242,182.401963116857
"reduced_percents1",0.0897267572609164,77.4772840239301
"reduced_percents2",0.163377388881411,141.073150839998
"soil_saved_payment",0.314708061144633,271.744199637357
"CV_eros_control",0.0462508395713195,39.9366871511049
"coffee_risk",0.243387466990757,-210.160274187481
"tree_risk",0.0669739441765342,-57.830678981067
"maize_risk",0.081273807636585,70.1783288529561
