"","VIP","Coefficient"
"discount_rate",4.60748672365611,-3830.23604638921
"establis_cost",0.492182812333147,-409.155025782846
"main_cost_stage1",0.688953569365529,-572.731936941619
"main_cost_stage2",0.826932105158187,-687.434462009706
"main_cost_stage3",0.560376179416117,-465.844650385514
"CV_cost",0.0808171848484848,-67.1838928987156
"mono_cost",0.163070200094095,-135.561401682494
"timb_benefit",0.0862931975910862,71.7361407195309
"max_tree_harvest",1.14853864750566,954.788237535385
"first_tree_est_per",0.201824322413901,167.777975523799
"sec_tree_est_per",0.107188835259778,89.1068309485419
"CV_tree_yield",0.0346593621496644,28.8125709769079
"yield_tree_risk",0.198094031399828,-164.676958426502
"tree_price",1.86463183845432,1550.08153235121
"max_coff_harvest",2.49832010247364,2076.87103313453
"first_coff_est_per",0.179416766024267,149.150416652187
"sec_coff_est_per",0.314627888495386,261.55237160577
"coff_frost_yield",0.387650933124596,-322.256941044864
"CV_coff_yield",0.0192738577893899,16.0224932345157
"coff_price",1.77652184457683,1476.83507612943
"CV_coff_price",0.0311427749794535,25.8892073846795
"max_monomaize",0.0693044142119891,-57.6132458777893
"decay_rate_mono",0.0828527286926531,-68.876054780791
"CV_maize_yield",0.0199991163274873,-16.625405746734
"maize_price",0.0191090566679086,-15.8854929057372
"CV_maize_price",0.0546907736251762,-45.4648239068257
"yield_maize_risk",0.083002708537057,-69.0007340779268
"grass_profit",0.399924217905045,332.459808810563
"CV_grass_profit",0.0643913147926096,-53.5289518528097
"annual_crop",0.0559270019304464,-46.4925091722224
"mono_soil_loss",0.215174751344156,178.876280780085
"reduced_percents1",0.0912356462319533,75.8448329582911
"reduced_percents2",0.160880087793945,133.740745958278
"soil_saved_payment",0.317290862137889,263.766120282186
"CV_eros_control",0.0488546256277173,40.6131931214001
"coffee_risk",0.249747776599458,-207.61707929084
"tree_risk",0.0706665208200131,-58.7455746596156
"maize_risk",0.0787976134454179,65.5050090190145
