"","VIP","Coefficient"
"discount_rate",4.93736776351538,-4947.70411603202
"establis_cost",0.450240350372003,-451.182926092825
"main_cost_stage1",0.47286481239849,-473.854752307318
"main_cost_stage2",0.577997718870284,-579.2077539461
"main_cost_stage3",0.714265600258909,-715.760911402094
"CV_cost",0.116815967480763,-117.06052107233
"mono_cost",0.0659743762198215,66.1124932170427
"timb_benefit",0.115176509440734,115.417630835825
"max_tree_harvest",1.13300280654625,1135.37474174973
"first_tree_est_per",0.169193906768362,169.548113290499
"sec_tree_est_per",0.0929200439513197,93.1145715571504
"CV_tree_yield",0.13277822801338,-133.056198510417
"yield_tree_risk",0.00377236492458323,3.78026235000291
"tree_price",1.74273248232993,1746.38088328817
"max_coff_harvest",2.22116608537084,2225.81608447078
"first_coff_est_per",0.0959568614029929,96.1577465696156
"sec_coff_est_per",0.257627888037195,258.167230617375
"coff_frost_yield",0.407675144984673,-408.528610679891
"CV_coff_yield",0.0311370004677007,-31.2021856085612
"coff_price",1.59899770372889,1602.34519671112
"CV_coff_price",0.0232383494097436,23.2869987676421
"max_monomaize",0.0524876510732165,-52.5975336848121
"decay_rate_mono",0.0165111496014535,-16.5457156031998
"CV_maize_yield",0.173724115943768,-174.087806434135
"maize_price",0.0611043501611326,-61.2322717853293
"CV_maize_price",0.0280952444457869,-28.1540616869854
"yield_maize_risk",0.0766341743112028,76.7946075376591
"grass_profit",0.290139100628087,290.746505254721
"CV_grass_profit",0.0577892542725374,57.9102357615504
"annual_crop",0.0738729146859232,-74.0275672303959
"mono_soil_loss",0.117777164281508,118.023730133341
"reduced_percents1",0.0254059537320437,-25.4591409577829
"reduced_percents2",0.0451847735110946,-45.2793675882962
"soil_saved_payment",0.0933518705909435,93.5473022234919
"CV_eros_control",0.0592923986309664,-59.4165269445053
"coffee_risk",0.16448909671191,-164.833453739823
"tree_risk",0.130055775583586,-130.328046641293
"maize_risk",0.0429242443314581,-43.0141060031364
