"","VIP","Coefficient"
"discount_rate",0.147322219754704,-9.40776644304624
"establis_cost",6.09214442335786,-389.034810686982
"main_cost_stage1",0.141145792903682,9.01334948840267
"main_cost_stage2",0.0628525992153964,4.01366864239064
"main_cost_stage3",0.00218500242789121,0.139530836239882
"CV_cost",0.0634816753594627,-4.05384046065487
"mono_cost",0.0188139570878526,-1.20142986201754
"timb_benefit",0.00263621326022672,-0.16834445399729
"max_tree_harvest",0.0573130057641727,-3.65991887222485
"first_tree_est_per",0.0902407226451134,5.76263135126859
"sec_tree_est_per",0.0796225819549676,-5.08457350066994
"CV_tree_yield",0.110873853041968,7.0802307743952
"yield_tree_risk",0.0464677219431824,-2.96735601669425
"tree_price",0.00570652775290071,-0.364409933473983
"max_coff_harvest",0.0692808157299449,-4.42416449097952
"first_coff_est_per",0.00285133812541713,0.182081991289173
"sec_coff_est_per",0.0787497445133982,-5.02883546735288
"coff_frost_yield",0.0103679273327115,0.662079617093948
"CV_coff_yield",0.0273334786464584,1.74547317852004
"coff_price",0.0147606021240472,0.942588956187202
"CV_coff_price",0.0368390067707675,-2.3524813315346
"max_monomaize",0.0050577276620329,0.322978574828462
"decay_rate_mono",0.0633689411055265,4.04664142759028
"CV_maize_yield",0.0100018186681427,-0.638700490613412
"maize_price",0.0146765351577013,-0.937220571253319
"CV_maize_price",0.0485883332296864,-3.10277493539596
"yield_maize_risk",0.0979031639188087,6.25194286182354
"grass_profit",0.859410063559115,54.8805819667233
"CV_grass_profit",0.109552277749783,6.99583704406397
"annual_crop",0.0202821306205854,1.29518512661245
"mono_soil_loss",0.0660154667796118,4.21564441620106
"reduced_percents1",0.00814446489402542,-0.520092784741887
"reduced_percents2",0.0746638649071183,-4.76791758874441
"soil_saved_payment",0.0226661370975304,1.44742405004947
"CV_eros_control",0.0674993056246198,-4.31040004312684
"coffee_risk",0.0686272395960172,-4.38242814169712
"tree_risk",0.0312014872554599,-1.99247815613827
"maize_risk",0.0453765501019612,-2.89767549023646
