"","VIP","Coefficient"
"discount_rate",4.83090395062783,-4713.91196758153
"establis_cost",0.43042739612652,-420.003559274257
"main_cost_stage1",0.590988598968975,-576.676385590742
"main_cost_stage2",0.724500793938399,-706.955260955806
"main_cost_stage3",0.581786495936733,-567.697133663166
"CV_cost",0.0843871625244765,-82.3435239863709
"mono_cost",0.1633963990985,-159.439361461543
"timb_benefit",0.0822957374285709,80.3027477901047
"max_tree_harvest",1.09602827836714,1069.48531185995
"first_tree_est_per",0.1714996878367,167.346409531668
"sec_tree_est_per",0.0821370862257566,80.1479387085621
"CV_tree_yield",0.0348714749465089,34.0269781302948
"yield_tree_risk",0.187479420508257,-182.939154460785
"tree_price",1.77346445535056,1730.51573899974
"max_coff_harvest",2.33084029252118,2274.39337683558
"first_coff_est_per",0.150124115596407,146.488498294511
"sec_coff_est_per",0.283587237674172,276.71948918627
"coff_frost_yield",0.355744149815742,-347.128947781213
"CV_coff_yield",0.0109631328521999,10.697634165849
"coff_price",1.65227090410793,1612.25718171211
"CV_coff_price",0.0587846642742126,57.3610519406952
"max_monomaize",0.0676361028594842,-65.9981316060862
"decay_rate_mono",0.0935512849691517,-91.2857151178511
"CV_maize_yield",0.0125832724002309,-12.2785381297175
"maize_price",0.0216181638973622,-21.0946279525327
"CV_maize_price",0.0593445317000505,-57.9073608273733
"yield_maize_risk",0.104768949692006,-102.231717051611
"grass_profit",0.367294012795316,358.399102990211
"CV_grass_profit",0.0756961264315327,-73.8629622803395
"annual_crop",0.0562576543130801,-54.8952396165996
"mono_soil_loss",0.196723657822523,191.959520287189
"reduced_percents1",0.0905065911983084,88.3147559452653
"reduced_percents2",0.165044420202253,161.047471762058
"soil_saved_payment",0.312843960803695,305.267690248009
"CV_eros_control",0.0428973079119306,41.8584462058698
"coffee_risk",0.228261654054436,-222.733747924614
"tree_risk",0.0593826391235857,-57.9445453877977
"maize_risk",0.0851956260380585,83.1324086073397
