"","VIP","Coefficient"
"discount_rate",3.85640125546916,-1787.89228645663
"establis_cost",0.835631766241152,-387.412898764583
"main_cost_stage1",1.2071695200559,-559.664031405602
"main_cost_stage2",1.38156693656982,-640.517598010219
"main_cost_stage3",0.0614920117027603,-28.5087277279944
"CV_cost",0.0175456937181175,8.13447781520763
"mono_cost",0.00104135493896034,-0.482789611218556
"timb_benefit",0.240219943070565,111.369993633264
"max_tree_harvest",1.20545332869334,558.868376312693
"first_tree_est_per",0.448398204672292,207.884926460294
"sec_tree_est_per",0.213294037703603,98.8866924095709
"CV_tree_yield",0.055169726954447,25.5776105061386
"yield_tree_risk",0.0423709839397988,-19.6438986342794
"tree_price",1.74607911864767,809.511557788705
"max_coff_harvest",2.84588630428996,1319.4006107006
"first_coff_est_per",0.333970453111478,154.834302103709
"sec_coff_est_per",0.327606115179538,151.883688320774
"coff_frost_yield",0.544992899966,-252.667846905443
"CV_coff_yield",0.0116493396354749,-5.40082919199373
"coff_price",2.22362407804346,1030.90940847375
"CV_coff_price",0.0273254138375094,-12.6685200496271
"max_monomaize",0.151255141807247,-70.1244199992309
"decay_rate_mono",0.0281898584691354,-13.0692910759204
"CV_maize_yield",0.0259280181104635,-12.0206639589339
"maize_price",0.0444059103614835,-20.587324645169
"CV_maize_price",0.0463171375851197,-21.473401633646
"yield_maize_risk",0.0694607716333765,-32.2031784525832
"grass_profit",0.630431299705077,292.278521661877
"CV_grass_profit",0.110387929469954,51.1776950952262
"annual_crop",0.0285534228420829,13.2378456154931
"mono_soil_loss",0.275677159194663,127.808553577616
"reduced_percents1",0.131600832170114,61.01235248654
"reduced_percents2",0.0114024062862488,5.28634675069586
"soil_saved_payment",0.269007515585267,124.716394963223
"CV_eros_control",0.0200323347637534,-9.2873263001452
"coffee_risk",0.203739836923017,-94.4572047221467
"tree_risk",0.192298796165046,-89.1529463825346
"maize_risk",0.00596203701858231,-2.7641003336919
