"","VIP","Coefficient"
"discount_rate",4.96987536087824,-5089.09587117651
"establis_cost",0.390006453420103,-399.362174644497
"main_cost_stage1",0.562659719012376,-576.157155860185
"main_cost_stage2",0.614300383445342,-629.036609179952
"main_cost_stage3",0.715460110396909,-732.623019577895
"CV_cost",0.0333653278866104,34.1657164533385
"mono_cost",0.0403831789434371,-41.3519161554408
"timb_benefit",0.188692651569532,193.219130118015
"max_tree_harvest",1.14587674197199,1173.36475726352
"first_tree_est_per",0.240367062513327,246.133139481235
"sec_tree_est_per",0.0813700277297542,83.3219833673723
"CV_tree_yield",0.038779394385668,39.7096590003726
"yield_tree_risk",0.0476222290747036,-48.7646211951417
"tree_price",1.58374245486566,1621.734269537
"max_coff_harvest",2.12873095356476,2179.79629668574
"first_coff_est_per",0.14207102381359,145.479113298285
"sec_coff_est_per",0.190390575725291,194.957785151231
"coff_frost_yield",0.4263757530565,-436.603924019971
"CV_coff_yield",0.0436136828970906,-44.6599154790802
"coff_price",1.71568964569039,1756.84669294409
"CV_coff_price",0.00965000252448233,9.88149288224958
"max_monomaize",0.181995068404921,-186.360881096685
"decay_rate_mono",0.0142279411314676,-14.5692499730414
"CV_maize_yield",0.0393915632893438,-40.3365129984996
"maize_price",0.0605856748018934,-62.039042249195
"CV_maize_price",0.0339837986965657,-34.7990235318546
"yield_maize_risk",0.049958165631724,-51.1565936742186
"grass_profit",0.332964536955144,340.951900646294
"CV_grass_profit",0.122789002582226,125.734542758566
"annual_crop",0.0315959374879015,32.3538807997825
"mono_soil_loss",0.183223595777844,187.618879160455
"reduced_percents1",0.103274676538498,105.752094731865
"reduced_percents2",0.0216695920087391,22.1894158734528
"soil_saved_payment",0.201374185527135,206.204876724832
"CV_eros_control",0.0619927048381492,63.4798250109714
"coffee_risk",0.151284401902432,-154.913507722058
"tree_risk",0.133502972948212,-136.705526615153
"maize_risk",0.0186544228152642,19.1019168962752
