"","VIP","Coefficient"
"discount_rate",4.43143961299503,-3040.4503345598
"establis_cost",0.559830898612058,-384.104984301374
"main_cost_stage1",0.815935709768299,-559.820784755686
"main_cost_stage2",0.91991100302686,-631.159162976367
"main_cost_stage3",0.542742126140745,-372.380224738984
"CV_cost",0.0203328808040406,13.9505712910815
"mono_cost",0.0243693618769896,-16.7200370404742
"timb_benefit",0.19423465567292,133.266133671785
"max_tree_harvest",1.24126241698195,851.641240901074
"first_tree_est_per",0.310669268651739,213.152962536079
"sec_tree_est_per",0.14594447330379,100.133807844841
"CV_tree_yield",0.0488172592652182,33.4939579972996
"yield_tree_risk",0.0551607357993817,-37.8462739566576
"tree_price",1.75562102014759,1204.54727678446
"max_coff_harvest",2.55942983436311,1756.04769008964
"first_coff_est_per",0.215671351644336,147.974042417064
"sec_coff_est_per",0.22895575401676,157.088589644385
"coff_frost_yield",0.489107166476865,-335.580799428993
"CV_coff_yield",0.0338599758309798,-23.2316321182835
"coff_price",2.03087826493216,1393.40373316966
"CV_coff_price",0.00169155958948554,1.1605941565123
"max_monomaize",0.170798557283274,-117.186417053145
"decay_rate_mono",0.0348324377729781,-23.8988469502819
"CV_maize_yield",0.0241314085913529,-16.5567751639495
"maize_price",0.0520588573985714,-35.7180474557591
"CV_maize_price",0.0269748272201583,-18.5076701047026
"yield_maize_risk",0.0657532888543306,-45.113919302725
"grass_profit",0.463588214246793,318.072018170187
"CV_grass_profit",0.118476947439218,81.2880927955898
"annual_crop",0.0349166406330657,23.9566192853428
"mono_soil_loss",0.230270825090945,157.990871664826
"reduced_percents1",0.102515929969436,70.337096021629
"reduced_percents2",0.0170157759406199,11.6746759901093
"soil_saved_payment",0.233207489640879,160.005743465663
"CV_eros_control",0.0192104713009529,13.1804760969219
"coffee_risk",0.169246685178852,-116.121663728909
"tree_risk",0.163800030114542,-112.384664997402
"maize_risk",0.00727736640951121,4.99306615160174
